"Dictamen";"Antiguedad.Trabajo";"Vivienda";"Plazo";"Edad";"Estado.civil";"Registros";"Tipo.trabajo";"Gastos";"Ingresos";"Patrimonio";"Cargas.patrimoniales";"Importe.solicitado";"Precio.del.bien.financiado";"Estalvi";"RatiFin"
"positiu";9;"lloguer";60;30;"casat";"reg_no";"autonom";73;129;0;0;800;846;4.2;94.5626477541371
"positiu";17;"lloguer";60;58;"vidu";"reg_no";"fixe";48;131;0;0;1000;1658;4.98;60.313630880579
"negatiu";10;"escriptura";36;46;"casat";"reg_si";"autonom";90;200;3000;0;2000;2985;1.98;67.001675041876
"positiu";0;"lloguer";60;24;"solter";"reg_no";"fixe";63;182;2500;0;900;1325;7.93333333333333;67.9245283018868
"positiu";0;"lloguer";36;26;"solter";"reg_no";"fixe";46;107;0;0;310;910;7.08387096774194;34.0659340659341
"positiu";1;"escriptura";60;36;"casat";"reg_no";"fixe";75;214;3500;0;650;1645;12.8307692307692;39.5136778115502
"positiu";29;"escriptura";60;44;"casat";"reg_no";"fixe";75;125;10000;0;1600;1800;1.875;88.8888888888889
"positiu";9;"pares";12;27;"solter";"reg_no";"fixe";35;80;0;0;200;1093;2.7;18.2982616651418
"positiu";0;"escriptura";60;32;"casat";"reg_no";"autonom";90;107;15000;0;1200;1957;0.85;61.3183444047011
"negatiu";0;"pares";48;41;"casat";"reg_no";"temporal";90;80;0;0;1200;1468;-0.4;81.7438692098093
"positiu";6;"escriptura";48;34;"casat";"reg_no";"autonom";60;125;4000;0;1150;1577;2.71304347826087;72.9232720355105
"positiu";7;"escriptura";36;29;"casat";"reg_no";"fixe";60;121;3000;0;650;915;3.37846153846154;71.0382513661202
"positiu";8;"escriptura";60;30;"casat";"reg_no";"fixe";75;199;5000;2500;1500;1650;3.96;90.9090909090909
"positiu";19;"contr_privat";36;37;"casat";"reg_no";"fixe";75;170;3500;260;600;940;5.544;63.8297872340426
"negatiu";0;"altres viv";18;21;"solter";"reg_si";"temporal";35;50;0;0;400;500;0.675;80
"positiu";0;"escriptura";24;68;"casat";"reg_no";"fixe";75;131;4162;0;900;1186;1.49333333333333;75.885328836425
"positiu";15;"contr_privat";24;52;"solter";"reg_no";"autonom";35;330;16500;0;1500;2201;4.72;68.1508405270332
"positiu";33;"lloguer";24;68;"casat";"reg_no";"autonom";65;200;5000;2000;600;1350;4.6;44.4444444444444
"negatiu";0;"ignora_cont";48;36;"casat";"reg_no";"temporal";45;130;750;0;1100;1511;3.70909090909091;72.7994705493051
"positiu";1;"pares";60;31;"solter";"reg_no";"fixe";35;137;0;0;1250;1253;4.896;99.7605746209098
"negatiu";2;"lloguer";60;25;"solter";"reg_no";"fixe";46;107;0;0;1500;2189;2.44;68.5244403837369
"positiu";5;"escriptura";60;22;"solter";"reg_no";"fixe";45;324;10000;0;1100;1159;15.2181818181818;94.909404659189
"negatiu";1;"escriptura";60;45;"casat";"reg_no";"temporal";105;112;2000;500;600;1332;0.2;45.045045045045
"positiu";27;"lloguer";60;41;"casat";"reg_no";"fixe";74;140;0;0;950;1497;4.16842105263158;63.4602538410154
"positiu";26;"escriptura";60;51;"casat";"reg_no";"fixe";45;143;3500;0;1350;1357;4.35555555555556;99.4841562269713
"positiu";12;"escriptura";36;54;"casat";"reg_no";"fixe";60;130;4000;0;700;2100;3.6;33.3333333333333
"positiu";19;"escriptura";60;43;"solter";"reg_no";"fixe";75;180;4000;0;1000;1070;6.3;93.4579439252336
"positiu";15;"escriptura";36;43;"casat";"reg_no";"fixe";75;251;4000;0;1800;2557;3.52;70.3949941337505
"negatiu";3;"escriptura";24;23;"casat";"reg_no";"fixe";75;85;5000;0;600;1600;0.4;37.5
"negatiu";0;"VivUnkown";48;37;"solter";"reg_no";"WorkingTypeUnknown";35;1;1;1;1500;1850;-1.08832;81.0810810810811
"positiu";4;"escriptura";48;29;"casat";"reg_no";"fixe";45;150;5000;3300;1100;1312;3.14181818181818;83.8414634146341
"negatiu";0;"escriptura";36;23;"solter";"reg_no";"temporal";45;122;2500;0;400;400;6.93;100
"positiu";14;"contr_privat";24;51;"casat";"reg_no";"temporal";75;198;1000;0;450;650;6.56;69.2307692307692
"positiu";10;"escriptura";36;39;"casat";"reg_no";"autonom";75;150;3000;0;1000;1394;2.7;71.7360114777618
"positiu";12;"pares";36;35;"solter";"reg_no";"fixe";35;170;0;0;1100;1542;4.41818181818182;71.3359273670558
"positiu";32;"escriptura";24;62;"casat";"reg_no";"autonom";45;119;8500;0;700;1200;2.53714285714286;58.3333333333333
"positiu";10;"escriptura";24;56;"casat";"reg_no";"autonom";45;208;13500;0;500;1560;7.824;32.0512820512821
"positiu";7;"escriptura";48;32;"casat";"reg_no";"fixe";75;115;3000;0;800;1200;2.4;66.6666666666667
"negatiu";1;"lloguer";54;36;"casat";"reg_no";"fixe";70;99;0;0;950;950;1.64842105263158;100
"positiu";30;"escriptura";60;64;"casat";"reg_no";"fixe";45;120;14000;0;1125;1300;4;86.5384615384615
"negatiu";5;"lloguer";48;31;"solter";"reg_no";"fixe";44;90;0;0;1300;1700;1.69846153846154;76.4705882352941
"positiu";24;"escriptura";60;42;"casat";"reg_no";"fixe";75;137;4000;0;900;1167;4.13333333333333;77.120822622108
"positiu";0;"escriptura";60;61;"vidu";"reg_no";"altres sit";35;230;50000;0;950;1150;12.3157894736842;82.6086956521739
"negatiu";0;"escriptura";60;32;"casat";"reg_si";"fixe";45;142;7000;3000;1250;1566;3.216;79.8212005108557
"negatiu";2;"escriptura";60;43;"casat";"reg_no";"temporal";75;71;3000;0;1500;1552;-0.16;96.6494845360825
"positiu";1;"pares";60;26;"solter";"reg_no";"temporal";35;120;0;0;1150;1300;4.43478260869565;88.4615384615385
"positiu";1;"escriptura";60;49;"vidu";"reg_no";"autonom";35;233;15900;4500;2100;2104;4.37142857142857;99.8098859315589
"positiu";15;"escriptura";36;47;"casat";"reg_no";"fixe";75;289;3500;0;1500;2154;5.136;69.6378830083565
"negatiu";2;"lloguer";36;27;"separat";"reg_no";"fixe";48;128;0;0;450;545;6.4;82.5688073394495
"positiu";25;"escriptura";36;52;"casat";"reg_no";"autonom";60;150;15000;0;750;1778;4.32;42.1822272215973
"positiu";8;"escriptura";60;28;"casat";"reg_no";"fixe";60;145;4000;1000;1600;1718;2.8125;93.1315483119907
"positiu";5;"escriptura";60;31;"casat";"reg_no";"fixe";75;90;4000;0;900;1500;1;60
"positiu";0;"lloguer";60;32;"casat";"reg_no";"fixe";105;301;0;0;1200;1274;9.8;94.1915227629513
"positiu";5;"escriptura";36;51;"casat";"reg_no";"autonom";75;200;2100;1200;900;1015;4.52;88.6699507389163
"positiu";3;"pares";12;37;"casat";"reg_no";"autonom";60;150;500;0;500;1701;2.16;29.3944738389183
"negatiu";1;"lloguer";48;29;"casat";"reg_si";"autonom";85;100;0;0;1000;1345;0.72;74.3494423791822
"positiu";7;"pares";60;26;"solter";"reg_no";"fixe";35;100;0;0;1000;1238;3.9;80.7754442649435
"positiu";4;"pares";30;27;"solter";"reg_no";"fixe";45;100;5000;0;500;1048;3.3;47.7099236641221
"positiu";6;"escriptura";24;63;"casat";"reg_no";"fixe";60;155;4000;0;600;1048;3.8;57.2519083969466
"positiu";14;"escriptura";24;55;"casat";"reg_no";"fixe";90;715;5000;0;800;1324;18.75;60.4229607250755
"positiu";3;"lloguer";60;28;"casat";"reg_no";"fixe";70;245;0;0;1830;2201;5.73770491803279;83.1440254429805
"positiu";8;"lloguer";48;31;"casat";"reg_no";"fixe";90;150;0;0;1100;1430;2.61818181818182;76.9230769230769
"negatiu";4;"pares";42;27;"solter";"reg_no";"fixe";35;70;0;0;600;926;2.45;64.7948164146868
"positiu";22;"escriptura";24;40;"casat";"reg_no";"fixe";75;190;3000;0;1000;1500;2.76;66.6666666666667
"positiu";2;"escriptura";36;35;"casat";"reg_no";"fixe";75;152;3000;0;1000;1542;2.772;64.8508430609598
"positiu";15;"contr_privat";60;43;"casat";"reg_no";"fixe";75;126;3000;0;1350;1360;2.26666666666667;99.2647058823529
"positiu";10;"escriptura";18;34;"casat";"reg_no";"autonom";75;181;4000;0;600;1000;3.18;60
"positiu";4;"escriptura";60;37;"casat";"reg_no";"fixe";60;185;3000;0;1200;1564;6.25;76.7263427109974
"positiu";9;"escriptura";60;53;"casat";"reg_no";"fixe";45;170;2500;0;850;1205;8.82352941176471;70.5394190871369
"positiu";22;"lloguer";60;46;"casat";"reg_no";"fixe";93;176;7500;0;2000;2200;2.49;90.9090909090909
"positiu";18;"pares";36;36;"casat";"reg_no";"autonom";60;238;0;0;900;2214;7.12;40.650406504065
"positiu";1;"contr_privat";60;46;"casat";"reg_no";"fixe";60;115;5500;800;1000;1137;2.82;87.9507475813544
"positiu";14;"escriptura";48;43;"casat";"reg_no";"fixe";45;200;9000;0;600;1025;12.4;58.5365853658537
"positiu";8;"escriptura";36;31;"casat";"reg_si";"autonom";75;411;9000;4000;800;1593;13.32;50.2197112366604
"positiu";5;"escriptura";24;43;"casat";"reg_no";"fixe";75;93;3000;0;700;1735;0.617142857142857;40.3458213256484
"positiu";19;"lloguer";60;38;"casat";"reg_no";"fixe";86;108;0;0;1000;1132;1.32;88.339222614841
"positiu";14;"escriptura";12;37;"casat";"reg_no";"autonom";90;500;4000;0;500;1338;9.84;37.3692077727952
"positiu";0;"altres viv";36;46;"casat";"reg_si";"altres sit";45;45;0;0;900;1100;0;81.8181818181818
"positiu";9;"lloguer";36;55;"casat";"reg_no";"fixe";70;250;30000;0;1750;2276;3.70285714285714;76.8892794376098
"positiu";29;"escriptura";48;56;"casat";"reg_no";"fixe";45;100;3000;0;900;1360;2.93333333333333;66.1764705882353
"positiu";10;"escriptura";36;55;"casat";"reg_no";"fixe";60;70;4000;0;1000;1436;0.36;69.6378830083565
"positiu";10;"pares";36;52;"casat";"reg_no";"fixe";60;150;0;0;550;612;5.89090909090909;89.8692810457516
"negatiu";1;"escriptura";36;29;"casat";"reg_no";"fixe";60;70;4500;0;850;1100;0.423529411764706;77.2727272727273
"positiu";11;"escriptura";60;39;"divorciat";"reg_si";"fixe";35;263;2500;0;1000;1300;13.68;76.9230769230769
"positiu";10;"escriptura";60;38;"casat";"reg_no";"autonom";75;200;9000;0;1000;2089;7.5;47.8697941598851
"positiu";5;"escriptura";24;24;"solter";"reg_no";"fixe";35;78;6000;3000;500;2262;0.624;22.10433244916
"positiu";10;"lloguer";60;28;"solter";"reg_no";"fixe";47;120;0;0;600;1054;7.3;56.9259962049336
"positiu";27;"escriptura";60;53;"casat";"reg_no";"fixe";60;125;10000;0;1426;1426;2.73492286115007;100
"negatiu";0;"lloguer";60;25;"solter";"reg_no";"temporal";40;50;0;0;1040;1048;0.576923076923077;99.236641221374
"negatiu";25;"lloguer";60;62;"casat";"reg_no";"fixe";60;146;0;0;1000;1292;5.16;77.3993808049536
"positiu";3;"pares";60;29;"solter";"reg_no";"fixe";35;70;0;0;950;1177;2.21052631578947;80.71367884452
"negatiu";9;"pares";60;32;"solter";"reg_si";"fixe";35;105;0;0;1490;1490;2.81879194630872;100
"positiu";4;"lloguer";36;21;"casat";"reg_no";"autonom";101;413;6000;0;750;850;14.976;88.2352941176471
