"Zone";"Date";"Region";"Prov";"nMortal";"nGraveInj";"nMinorInj";"nInv";"nPedest";"nBikes";"nMotor";"Vel";"Escaped";"Weather";"TrafficInf";"WeatherInf";"LightInf";"VisionInf";"Intersect";"Surface";"DayGroup";"HourGroup";"AccType"
"Urban";2010-01-25;"Valles Oriental";"Barcelona";0;1;0;2;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Road";2010-08-16;"Montsia";"Tarragona";0;1;1;2;0;0;2;"40";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-01-13;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-10-12;"Anoia";"Barcelona";0;1;0;2;0;0;2;"30";"No";"Good";"No";"No";"No";"No";"InSection";"Slippery";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2010-05-23;"Girones";"Girona";0;1;0;2;0;0;2;"80";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-06-20;"Garrotxa";"Girona";0;1;1;3;1;0;2;"30";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"RunOver"
"Road";2010-07-28;"Osona";"Barcelona";0;1;2;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2010-07-02;"Barcelones";"Barcelona";1;0;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Road";2010-03-20;"Alt Urgell";"Lleida";0;3;5;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Road";2010-08-24;"Selva";"Girona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-05-28;"Valles Oriental";"Barcelona";0;1;0;1;0;0;1;"80";"No";"StrongRain";"No";"Yes";"No";"No";"InSection";"Wet";"Weekday";"Afternoon";"NARoadExit"
"Urban";2010-04-03;"Bages";"Barcelona";0;1;1;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Slippery";"Weekend";"Night";"RunOver"
"Urban";2010-10-11;"Barcelones";"Barcelona";0;2;2;6;0;0;6;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Slippery";"Weekday";"Morning";"Rollover"
"Urban";2010-04-14;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2010-12-10;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
