zona,dat,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,VEHICLES_MOTOR,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_CLIMATOLOGIA,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_SUPERFICIE,grupDiaLab,grupHor,tipAcc
Zona urbana,25/01/2010,Valles Oriental,Barcelona,0,1,0,2,0,0,1,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Carretera,16/08/2010,Montsia,Tarragona,0,1,1,2,0,0,2,40,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,13/01/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,12/10/2010,Anoia,Barcelona,0,1,0,2,0,0,2,30,No,Bon temps,No,No,No,No,En secció,Relliscós,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,23/05/2010,Girones,Girona,0,1,0,2,0,0,2,80,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,20/06/2010,Garrotxa,Girona,0,1,1,3,1,0,2,30,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Atropellament
Carretera,28/07/2010,Osona,Barcelona,0,1,2,3,0,0,3,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,02/07/2010,Barcelones,Barcelona,1,0,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Atropellament
Carretera,20/03/2010,Alt Urgell,Lleida,0,3,5,3,0,0,3,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Carretera,24/08/2010,Selva,Girona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,28/05/2010,Valles Oriental,Barcelona,0,1,0,1,0,0,1,80,No,Pluja forta,No,Si,No,No,En secció,Mullat,Feiners,Tarda,Sortida de la calcada sense especificar
Zona urbana,03/04/2010,Bages,Barcelona,0,1,1,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Relliscós,CapDeSetmana,Nit,Atropellament
Zona urbana,11/10/2010,Barcelones,Barcelona,0,2,2,6,0,0,6,100,No,Bon temps,No,No,No,No,En secció,Relliscós,Feiners,Matí,Bolcada a la calcada
Zona urbana,14/04/2010,Valles Occidental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,10/12/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,25/04/2010,Montsia,Tarragona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Sortida de la calcada sense especificar
Zona urbana,12/11/2010,Baix Llobregat,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Atropellament
Zona urbana,05/11/2010,Montsia,Tarragona,1,0,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Nit,Atropellament
Carretera,29/05/2010,Garraf,Barcelona,0,1,0,1,0,0,1,60,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,13/08/2010,Alt Emporda,Girona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,Si,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,27/07/2010,Valles Oriental,Barcelona,0,1,0,2,0,1,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,03/11/2010,Valles Occidental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,29/05/2010,Maresme,Barcelona,0,1,1,2,0,0,2,30,No,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió d'un vehicle contra un obstacle de la calcada
