"Zone","Date","Region","Prov","nMortal","nGraveInj","nMinorInj","nInvolv","nPedest","nBikes","nMotor","Vel","Escaped","Weather","TrafficInf","WeatherInf","LightInf","VisionInf","Intersect","Surface","DayGroup","HourGroup","AccType"
"Urban",2010-01-25,"VOriental","Barcelona",0,1,0,2,0,0,1,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Night","HitVehicle/s"
"Road",2010-08-16,"Montsia","Tarragona",0,1,1,2,0,0,2,"40","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2010-01-13,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2010-10-12,"Anoia","Barcelona",0,1,0,2,0,0,2,"30","No","Good","No","No","No","No","InSection","Slippery","Weekday","Morning","HitVehicle/s"
"Road",2010-05-23,"Girones","Girona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2010-06-20,"Garrotxa","Girona",0,1,1,3,1,0,2,"30","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","RunOver"
"Road",2010-07-28,"Osona","Barcelona",0,1,2,3,0,0,3,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2010-07-02,"Barcelones","Barcelona",1,0,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Road",2010-03-20,"AUrgell","Lleida",0,3,5,3,0,0,3,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2010-08-24,"Selva","Girona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2010-05-28,"VOriental","Barcelona",0,1,0,1,0,0,1,"80","No","StrongRain","No","Yes","No","No","InSection","Wet","Weekday","Afternoon","NARoadExit"
"Urban",2010-04-03,"Bages","Barcelona",0,1,1,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Slippery","Weekend","Night","RunOver"
"Urban",2010-10-11,"Barcelones","Barcelona",0,2,2,6,0,0,6,"100","No","Good","No","No","No","No","InSection","Slippery","Weekday","Morning","Rollover"
"Urban",2010-04-14,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2010-12-10,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2010-04-25,"Montsia","Tarragona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","NARoadExit"
"Urban",2010-11-12,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2010-11-05,"Montsia","Tarragona",1,0,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","RunOver"
"Road",2010-05-29,"Garraf","Barcelona",0,1,0,1,0,0,1,"60","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitObstacle"
"Urban",2010-08-13,"AEmporda","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","Yes","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2010-07-27,"VOriental","Barcelona",0,1,0,2,0,1,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2010-11-03,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Urban",2010-05-29,"Maresme","Barcelona",0,1,1,2,0,0,2,"30","No","Good","No","No","No","NA","InSection","Dry&Clean","Weekend","Morning","HitObstacle"
"Urban",2010-06-02,"Selva","Girona",1,0,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Flooded","Weekday","Morning","RunOver"
"Road",2010-05-25,"BLlobregat","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2010-01-25,"VOccidental","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2010-06-11,"Barcelones","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","NA","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2010-04-13,"Tarragones","Tarragona",0,1,0,1,1,0,0,"100","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","RunOver"
