Any,zona,dat,via,pk,nomMun,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,F_ALTRES_UNIT_IMPLICADES,F_UNIT_DESC_IMPLICADES,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_GRAVETAT,D_INFLUIT_BOIRA,D_INFLUIT_CARACT_ENTORN,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_INTEN_VENT,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_MESU_ESP,D_INFLUIT_OBJ_CALCADA,D_INFLUIT_SOLCS_RASES,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,grupDiaLab,hor,grupHor,tipAcc,tipDia
2010,Zona urbana,25/01/2010,SE,999999,CANOVES I SAMALUS,Valles Oriental,Barcelona,0,1,0,1,2,0,0,0,0,1,0,1,0,100,No,No n'hi ha,Desmunt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,Arribant o eixint intersecció fins 50m,Genérica via,"De nit, il·luminació artificial suficient",Sols norma prioritat de pas,Un sol sentit,Encalç,Intersecció en T o Y,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",Feiners,23.33,Nit,Col.lisió de vehicles en marxa,dill-dij
2010,Carretera,16/08/2010,SE,999999,SANT CARLES DE LA RAPITA,Montsia,Tarragona,0,1,1,2,2,0,0,1,0,1,0,0,0,40,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,Dintre intersecció,Senyal velocitat,"De dia, dia clar",Senyal Stop o cedeix pas,Doble sentit,Encalç,Intersecció en T o Y,Carretera,Sec i net,Altres,Municipal,Rampa o pendent,"Calma, vent molt suau",Feiners,14.57,Tarda,Col.lisió de vehicles en marxa,dill-dij
2010,Zona urbana,13/01/2010,SE,999999,BARCELONA,Barcelones,Barcelona,0,1,0,1,2,0,0,0,1,1,0,0,0,100,No,No n'hi ha,Sense Especificar,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De nit, il·luminació artificial suficient",NA,Doble sentit,Encalç,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",Feiners,20.54,Tarda,Col.lisió de vehicles en marxa,dill-dij
2010,Zona urbana,12/10/2010,SE,999999,ODENA,Anoia,Barcelona,0,1,0,1,2,0,0,1,0,1,0,0,0,30,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,Sense especificar,No,No,No,Sense especificar,No,No,No,No,No,En secció,Senyal velocitat,"De dia, dia fosc",NA,Doble sentit,Col·lisió frontal,NA,Zona urbana,Relliscós,Via urbana( inclou carrer i carrer residencial),Municipal,Pla,"Calma, vent molt suau",Feiners,13.5,Matí,Col.lisió de vehicles en marxa,dill-dij
2010,Carretera,23/05/2010,N-II,719.4,GIRONA,Girones,Girona,0,1,0,1,2,0,0,0,1,1,0,0,0,80,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Variant,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Senyal velocitat,"De dia, dia clar",NA,Doble sentit,Fregament o col·lisió lateral,NA,Carretera,Sec i net,Carretera convencional,Estatal,Pla,"Calma, vent molt suau",CapDeSetmana,16.05,Tarda,Col.lisió de vehicles en marxa,dg
2010,Zona urbana,20/06/2010,SE,999999,OLOT,Garrotxa,Girona,0,1,1,2,3,1,0,0,1,1,0,0,0,30,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Senyal velocitat,"De dia, dia clar",NA,Doble sentit,Atropellament,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",CapDeSetmana,13.02,Matí,Atropellament,dg
2010,Carretera,28/07/2010,B-522,6.1,MANLLEU,Osona,Barcelona,0,1,2,3,3,0,0,0,0,3,0,0,0,100,No,No n'hi ha,Terraplé,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,Arribant o eixint intersecció fins 50m,Genérica via,"De dia, dia clar",Senyal Stop o cedeix pas,Doble sentit,Encalç,Encreuament o intersecció en X o +,Carretera,Sec i net,Carretera convencional,Provincial,Rampa o pendent,"Calma, vent molt suau",Feiners,8,Matí,Col.lisió de vehicles en marxa,dill-dij
2010,Zona urbana,02/07/2010,SE,999999,BARCELONA,Barcelones,Barcelona,1,0,0,1,2,1,0,0,0,1,0,0,0,100,No,No n'hi ha,Sense Especificar,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident mortal,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Un sol sentit,Atropellament,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",CapDeSetmana,16.4,Tarda,Atropellament,div
2010,Carretera,20/03/2010,C-14,162.8,ORGANYA,Alt Urgell,Lleida,0,3,5,8,3,0,0,0,0,3,0,0,0,100,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,Dintre intersecció,Genérica via,"De dia, dia clar",Senyal Stop o cedeix pas,Doble sentit,Col·lisió frontal,Intersecció en T o Y,Carretera,Sec i net,Carretera convencional,Autonòmica,Rampa o pendent,"Calma, vent molt suau",CapDeSetmana,11.04,Matí,Col.lisió de vehicles en marxa,dis
2010,Carretera,24/08/2010,GI-673,1.5,CALDES DE MALAVELLA,Selva,Girona,0,1,1,2,2,0,0,0,0,2,0,0,0,100,No,No n'hi ha,Terraplé,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Doble sentit,Col·lisió frontal,NA,Carretera,Sec i net,Carretera convencional,Autonòmica,Rampa o pendent,"Calma, vent molt suau",Feiners,15.15,Tarda,Col.lisió de vehicles en marxa,dill-dij
